n_components,frac_largest,homophily,epsilon,p_cut,mean_opinion,std_opinion
1,1.0,0.1525921727139451,0.1,0.01,0.48665348826929156,0.28727862171077007
8,0.9466666666666667,0.49685972664816425,0.1,0.05,0.48665348826929156,0.2864533786405788
43,0.44666666666666666,0.7705937675176906,0.1,0.1,0.48665348826929156,0.28638787402130084
87,0.21666666666666667,0.9001292580480497,0.1,0.15,0.48665348826929156,0.28681833269355034
107,0.11,0.9667436797906543,0.1,0.2,0.48665348826929156,0.2866246644782359
1,1.0,0.15107849473134452,0.15,0.01,0.48665348826929156,0.28131640420346316
4,0.98,0.5417497040187166,0.15,0.05,0.48665348826929156,0.27965986503182105
21,0.91,0.807106443130607,0.15,0.1,0.48665348826929167,0.2800197332840998
35,0.67,0.9329634294083589,0.15,0.15,0.4866534882692918,0.2809099215058145
61,0.22,0.9593540716951856,0.15,0.2,0.4866534882692918,0.28079498929327534
1,1.0,0.19275915649814407,0.2,0.01,0.4866534882692918,0.2721190542343784
3,0.9933333333333333,0.6431246237515611,0.2,0.05,0.48665348826929167,0.2667809356272097
13,0.9466666666666667,0.8455647596569904,0.2,0.1,0.4866534882692918,0.2692671596271089
17,0.9,0.8986594791997942,0.2,0.15,0.48665348826929156,0.2597829992952116
32,0.7866666666666666,0.9806676667248924,0.2,0.2,0.48665348826929156,0.26678298365237313
1,1.0,0.32188986738326586,0.25,0.01,0.48665348826929156,0.2454033377965237
2,0.9966666666666667,0.5485023424573466,0.25,0.05,0.48665348826929156,0.23131168915899797
4,0.99,0.8289415542630524,0.25,0.1,0.48665348826929156,0.227142880129633
10,0.96,0.8764169616762576,0.25,0.15,0.48665348826929167,0.23353430879643103
17,0.8866666666666667,0.9820480008758425,0.25,0.2,0.48665348826929156,0.24543970111104813
1,1.0,0.332855388867495,0.3,0.01,0.48665348826929156,0.19072722648370946
3,0.9933333333333333,0.6035327674356937,0.3,0.05,0.48665348826929156,0.17669818149267055
4,0.9866666666666667,0.8184843177590068,0.3,0.1,0.48665348826929156,0.2036323408798785
7,0.9733333333333334,0.9242357402334529,0.3,0.15,0.48665348826929167,0.19282946767144626
12,0.9533333333333334,0.9759827577992187,0.3,0.2,0.48665348826929156,0.21372132513800765
